STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,RE_MEASURE,Measure,PLANT_TYPE,Renewable Energy Plant Types,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,DECIMALS,Decimals
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2009,,10,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2010,,10.8,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2011,,12.6,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2012,,13,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2013,,25.6095,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2014,,27.2735,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2015,,28.2,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2016,,32.1,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2017,,250.1,,,,,,1,One
DATAFLOW,FCSA:DF_RE(1.9.0),Renewable Energy - Installed Capacity and Electricity Production,I,AE,UAE,A,Annual,MW,MW,MEI,Ministry of Energy and Infrastructure,REP,Installed Capacity Renewable Energy Plants,SP,Solar photovoltaic,2018,,496.4,,,,,,1,One
